"Species","Temperament","Hypoallergenic"
"Labrador Retriever","Cheerful","No"
"Labrador Retriever","Gentle","No"
"Labrador Retriever","Friendly","No"
"Labrador Retriever","Intelligent","No"
"German Shepherd","Courageous","No"
"German Shepherd","Intelligent","No"
"German Shepherd","Loyal","No"
"German Shepherd","Watchful","No"
"Golden Retriever","Intelligent","No"
"Golden Retriever","Kind","No"
"Golden Retriever","Friendly","No"
"Golden Retriever","Confident","No"
"French Bulldog","Playful","No"
"French Bulldog","Sociable","No"
"French Bulldog","Lively","No"
"French Bulldog","Patient","No"
"Bulldog","Friendly","No"
"Bulldog","Docile","No"
"Bulldog","Willful","No"
"Bulldog","Gregarious","No"
"Beagle","Gentle","No"
"Beagle","Intelligent","No"
"Beagle","Even Tempered","No"
"Beagle","Determined","No"
"Poodle","Intelligent","Yes"
"Poodle","Faithful","Yes"
"Poodle","Trainable","Yes"
"Poodle","Instinctual","Yes"
"Rottweiler","Intelligent","No"
"Rottweiler","Courageous","No"
"Rottweiler","Fearless","No"
"Rottweiler","Confident","No"
"Yorkshire Terrier","Independent","Yes"
"Yorkshire Terrier","Intelligent","Yes"
"Yorkshire Terrier","Courageous","Yes"
"Yorkshire Terrier","Confident","Yes"
"German Shorthaired Pointer","Intelligent","No"
"German Shorthaired Pointer","Trainable","No"
"German Shorthaired Pointer","Boisterous","No"
"German Shorthaired Pointer","Cooperative","No"
"Boxer","Playful","No"
"Boxer","Friendly","No"
"Boxer","Devoted","No"
"Boxer","Loyal","No"
"Siberian Husky","Gentle","No"
"Siberian Husky","Intelligent","No"
"Siberian Husky","Outgoing","No"
"Siberian Husky","Friendly","No"
"Dachshund","Clever","No"
"Dachshund","Courageous","No"
"Dachshund","Devoted","No"
"Dachshund","Lively","No"
"Great Dane","Gentle","No"
"Great Dane","Friendly","No"
"Great Dane","Devoted","No"
"Great Dane","Reserved","No"
"Pembroke Welsh Corgi","Intelligent","No"
"Pembroke Welsh Corgi","Playful","No"
"Pembroke Welsh Corgi","Outgoing","No"
"Pembroke Welsh Corgi","Friendly","No"
"Doberman Pinscher","Intelligent","No"
"Doberman Pinscher","Obedient","No"
"Doberman Pinscher","Loyal","No"
"Doberman Pinscher","Energetic","No"
"Australian Shepherd","Active","No"
"Australian Shepherd","Intelligent","No"
"Australian Shepherd","Good-natured","No"
"Australian Shepherd","Protective","No"
"Miniature Schnauzer","Intelligent","Yes"
"Miniature Schnauzer","Friendly","Yes"
"Miniature Schnauzer","Obedient","Yes"
"Miniature Schnauzer","Fearless","Yes"
"Cavalier King Charles Spaniel","Playful","No"
"Cavalier King Charles Spaniel","Sociable","No"
"Cavalier King Charles Spaniel","Patient","No"
"Cavalier King Charles Spaniel","Fearless","No"
"Shih Tzu","Happy","Yes"
"Shih Tzu","Playful","Yes"
"Shih Tzu","Gentle","Yes"
"Shih Tzu","Friendly","Yes"
"Boston Terrier","Intelligent","No"
"Boston Terrier","Friendly","No"
"Boston Terrier","Lively","No"
"Boston Terrier","Playful","No"
"Pomeranian","Playful","No"
"Pomeranian","Intelligent","No"
"Pomeranian","Sociable","No"
"Pomeranian","Friendly","No"
"Havanese","Companionable","Yes"
"Havanese","Responsive","Yes"
"Havanese","Playful","Yes"
"Havanese","Affectionate","Yes"
"Shetland Sheepdog","Playful","No"
"Shetland Sheepdog","Gentle","No"
"Shetland Sheepdog","Intelligent","No"
"Shetland Sheepdog","Lively","No"
"Bernese Mountain Dog","Affectionate","No"
"Bernese Mountain Dog","Intelligent","No"
"Bernese Mountain Dog","Loyal","No"
"Bernese Mountain Dog","Faithful","No"
"Brittany","Happy","No"
"Brittany","Intelligent","No"
"Brittany","Agile","No"
"Brittany","Quick","No"
"English Springer Spaniel","Attentive","No"
"English Springer Spaniel","Intelligent","No"
"English Springer Spaniel","Active","No"
"English Springer Spaniel","Cheerful","No"
"Mastiff","Dignified","No"
"Mastiff","Affectionate","No"
"Mastiff","Good-natured","No"
"Mastiff","Courageous","No"
"American Cocker Spaniel","Outgoing","No"
"American Cocker Spaniel","Sociable","No"
"American Cocker Spaniel","Even Tempered","No"
"American Cocker Spaniel","Trusting","No"
"Vizsla","Intelligent","No"
"Vizsla","Loyal","No"
"Vizsla","Affectionate","No"
"Vizsla","Energetic","No"
"Pug","Playful","No"
"Pug","Stubborn","No"
"Pug","Attentive","No"
"Pug","Sociable","No"
"Chihuahua","Devoted","No"
"Chihuahua","Quick","No"
"Chihuahua","Courageous","No"
"Chihuahua","Lively","No"
"Maltese","Playful","Yes"
"Maltese","Gentle","Yes"
"Maltese","Lively","Yes"
"Maltese","Docile","Yes"
"Weimaraner","Energetic","No"
"Weimaraner","Stubborn","No"
"Weimaraner","Fast","No"
"Weimaraner","Intelligent","No"
"Miniature American Shepherd","Energetic","No"
"Miniature American Shepherd","Intelligent","No"
"Miniature American Shepherd","Loyal","No"
"Newfoundland","Gentle","No"
"Newfoundland","Trainable","No"
"Newfoundland","Sweet-Tempered","No"
"Cane Corso","Quiet","No"
"Cane Corso","Even Tempered","No"
"Cane Corso","Calm","No"
"Cane Corso","Reserved","No"
"Border Collie","Intelligent","No"
"Border Collie","Energetic","No"
"Border Collie","Tenacious","No"
"Border Collie","Responsive","No"
"Basset Hound","Gentle","No"
"Basset Hound","Friendly","No"
"Basset Hound","Devoted","No"
"Basset Hound","Sweet-Tempered","No"
"Basset Hound","Easy-Going","No"
"Collie","Loyal","No"
"Collie","Intelligent","No"
"Collie","Protective","No"
"Collie","Friendly","No"
"Collie","Outgoing","No"
"Rhodesian Ridgeback","Dignified","No"
"Rhodesian Ridgeback","Sensitive","No"
"Rhodesian Ridgeback","Mischievous","No"
"Rhodesian Ridgeback","Strong Willed","No"
"West Highland White Terrier","Hardy","Yes"
"West Highland White Terrier","Friendly","Yes"
"West Highland White Terrier","Independent","Yes"
"West Highland White Terrier","Courageous","Yes"
"Chesapeake Bay Retriever","Happy","No"
"Chesapeake Bay Retriever","Affectionate","No"
"Chesapeake Bay Retriever","Intelligent","No"
"Chesapeake Bay Retriever","Quiet","No"
"Belgian Malinois","Stubborn","No"
"Belgian Malinois","Confident","No"
"Belgian Malinois","Protective","No"
"Belgian Malinois","Watchful","No"
"Shiba Inu","Charming","No"
"Shiba Inu","Confident","No"
"Shiba Inu","Fearless","No"
"Shiba Inu","Keen","No"
"Bichon Frise","Playful","Yes"
"Bichon Frise","Gentle","Yes"
"Bichon Frise","Sensitive","Yes"
"Bichon Frise","Cheerful","Yes"
"Akita","Dignified","No"
"Akita","Friendly","No"
"Akita","Courageous","No"
"Akita","Docile","No"
"St. Bernard","Friendly","No"
"St. Bernard","Lively","No"
"St. Bernard","Watchful","No"
"St. Bernard","Gentle","No"
"Soft Coated Wheaten Terrier","Spirited","Yes"
